datetime,Ten_Meter_Elevation_Wind_Speed_meterPerSecond,Air_Temperature_celsius,Relative_Humidity_percent,Shortwave_Radiation_Downwelling_wattPerMeterSquared,Cloud_Cover_decimalFraction,Surface_Level_Barometric_Pressure_pascal
2010-04-01 10:10:00,3.84099258005011,4.87,92.917,264.733,0.39,100060.4
2010-04-01 10:20:00,3.88936202994784,4.89,92.583,258.467,0.42,100062.1
2010-04-01 10:30:00,3.93701536700074,4.91,92.25,252.2,0.46,100063.8
2010-04-01 10:40:00,3.9853407633476,4.92,91.917,245.933,0.49,100065.4
2010-04-01 10:50:00,4.03354595858285,4.94,91.583,239.667,0.53,100067.1
2010-04-01 11:00:00,4.08095344251806,4.96,91.25,233.4,0.56,100068.8
2010-04-01 11:10:00,4.14193964224492,4.94,91.042,228.117,0.6,100072.1
2010-04-01 11:20:00,4.23972475521702,4.81,91.208,225.783,0.63,100080.4
2010-04-01 11:30:00,4.33794651880357,4.68,91.375,223.45,0.66,100088.8
2010-04-01 11:40:00,4.43551812080618,4.55,91.542,221.117,0.7,100097.1
2010-04-01 11:50:00,4.53413806582905,4.42,91.708,218.783,0.73,100105.4
2010-04-01 12:00:00,4.63249392876019,4.29,91.875,216.45,0.77,100113.8
2010-04-01 12:10:00,4.6789417606976,4.19,91.958,215.642,0.8,100122.5
2010-04-01 12:20:00,4.57064732833326,4.18,91.792,219.408,0.84,100132.5
2010-04-01 12:30:00,4.46251330530229,4.17,91.625,223.175,0.87,100142.5
2010-04-01 12:40:00,4.35479103976299,4.16,91.458,226.942,0.91,100152.5
2010-04-01 12:50:00,4.24632747206336,4.15,91.292,230.708,0.94,100162.5
2010-04-01 13:00:00,4.13857282163791,4.15,91.125,234.475,0.97,100172.5
2010-04-01 13:10:00,4.04391456388485,4.13,91,234.558,0.99,100185
2010-04-01 13:20:00,3.99138184091675,4.07,91,223.592,0.97,100205
2010-04-01 13:30:00,3.939387261999,4.01,91,212.625,0.94,100225
2010-04-01 13:40:00,3.88777224127134,3.95,91,201.658,0.91,100245
2010-04-01 13:50:00,3.83521915931802,3.89,91,190.692,0.88,100265
2010-04-01 14:00:00,3.78340389067834,3.83,91,179.725,0.85,100285
2010-04-01 14:10:00,3.75569567457216,3.8,90.833,170.508,0.83,100304.6
2010-04-01 14:20:00,3.80138356391459,3.85,90.167,166.542,0.8,100322.9
2010-04-01 14:30:00,3.84668688613981,3.89,89.5,162.575,0.77,100341.2
2010-04-01 14:40:00,3.89257575391925,3.94,88.833,158.608,0.74,100359.6
2010-04-01 14:50:00,3.93906651378217,3.98,88.167,154.642,0.72,100377.9
2010-04-01 15:00:00,3.98460562665868,4.03,87.5,150.675,0.69,100396.3
2010-04-01 15:10:00,4.05598730274147,4.09,86.875,148.688,0.66,100415.4
2010-04-01 15:20:00,4.20332546919698,4.21,86.375,152.637,0.63,100437.1
2010-04-01 15:30:00,4.3515553541234,4.33,85.875,156.587,0.6,100458.7
2010-04-01 15:40:00,4.4991231367901,4.46,85.375,160.538,0.58,100480.4
2010-04-01 15:50:00,4.64710931655368,4.58,84.875,164.488,0.55,100502.1
2010-04-01 16:00:00,4.79478570949735,4.7,84.375,168.438,0.52,100523.7
2010-04-01 16:10:00,4.86238727375761,4.8,83.958,169.371,0.5,100544.2
2010-04-01 16:20:00,4.68775265985739,4.85,83.792,161.254,0.49,100560.8
2010-04-01 16:30:00,4.51281021094395,4.9,83.625,153.137,0.48,100577.5
2010-04-01 16:40:00,4.33750216138275,4.95,83.458,145.021,0.48,100594.2
2010-04-01 16:50:00,4.16298174389463,5,83.292,136.904,0.47,100610.8
2010-04-01 17:00:00,3.98862043819665,5.04,83.125,128.787,0.46,100627.5
2010-04-01 17:10:00,3.76824693989128,5.08,83.167,120.445,0.46,100643.3
2010-04-01 17:20:00,3.41240706833168,5.1,83.833,111.425,0.45,100656.7
2010-04-01 17:30:00,3.05721605386338,5.11,84.5,102.405,0.44,100670
2010-04-01 17:40:00,2.70185954483204,5.12,85.167,93.385,0.44,100683.3
2010-04-01 17:50:00,2.34656728009235,5.14,85.833,84.365,0.43,100696.7
2010-04-01 18:00:00,1.99007763667652,5.15,86.5,75.345,0.43,100710
2010-04-01 18:10:00,1.71015467136748,5.1,87.25,66.085,0.42,100723.3
2010-04-01 18:20:00,1.65530087899451,4.85,88.25,56.107,0.41,100736.7
2010-04-01 18:30:00,1.59983030350097,4.59,89.25,46.129,0.4,100750
2010-04-01 18:40:00,1.5448705447383,4.34,90.25,36.15,0.4,100763.3
2010-04-01 18:50:00,1.48970500435489,4.09,91.25,26.172,0.39,100776.7
2010-04-01 19:00:00,1.43408960668432,3.84,92.25,16.194,0.38,100790
2010-04-01 19:10:00,1.46525936270682,3.65,92.958,8.347,0.38,100802.1
2010-04-01 19:20:00,1.75555176511546,3.66,92.792,6.895,0.37,100810.4
2010-04-01 19:30:00,2.04512933576339,3.66,92.625,5.444,0.36,100818.8
2010-04-01 19:40:00,2.33471133119279,3.67,92.458,3.992,0.36,100827.1
2010-04-01 19:50:00,2.6239681781607,3.67,92.292,2.54,0.35,100835.4
2010-04-01 20:00:00,2.91365835334207,3.68,92.125,1.089,0.34,100843.8
2010-04-01 20:10:00,3.11840375833534,3.66,92,0,0.33,100852.5
2010-04-01 20:20:00,3.0661327433756,3.59,92,0,0.33,100862.5
2010-04-01 20:30:00,3.01388022323383,3.51,92,0,0.32,100872.5
2010-04-01 20:40:00,2.96260780394571,3.44,92,0,0.31,100882.5
2010-04-01 20:50:00,2.91039602116276,3.36,92,0,0.31,100892.5
2010-04-01 21:00:00,2.85944067957354,3.29,92,0,0.3,100902.5
2010-04-01 21:10:00,2.85036927432219,3.2,92.042,0,0.29,100911.2
2010-04-01 21:20:00,2.97261400117809,3.1,92.208,0,0.28,100916.2
2010-04-01 21:30:00,3.09472858260624,2.99,92.375,0,0.28,100921.3
2010-04-01 21:40:00,3.21702548948559,2.89,92.542,0,0.27,100926.3
2010-04-01 21:50:00,3.33911620043388,2.78,92.708,0,0.26,100931.2
2010-04-01 22:00:00,3.46127519853594,2.68,92.875,0,0.26,100936.2
2010-04-01 22:10:00,3.55242170920064,2.58,93,0,0.25,100942.1
2010-04-01 22:20:00,3.54753886518527,2.48,93,0,0.26,100950.4
2010-04-01 22:30:00,3.54322240340626,2.38,93,0,0.27,100958.8
2010-04-01 22:40:00,3.53970196485523,2.28,93,0,0.27,100967.1
2010-04-01 22:50:00,3.53582932280392,2.18,93,0,0.28,100975.4
2010-04-01 23:00:00,3.53088147634553,2.08,93,0,0.29,100983.8
2010-04-01 23:10:00,3.46130856757961,1.99,93.042,0,0.29,100992.5
2010-04-01 23:20:00,3.19380854153783,1.89,93.208,0,0.3,101002.5
2010-04-01 23:30:00,2.92551157919431,1.79,93.375,0,0.31,101012.5
2010-04-01 23:40:00,2.65697647712583,1.69,93.542,0,0.31,101022.5
2010-04-01 23:50:00,2.38996652696225,1.59,93.708,0,0.32,101032.5
2010-04-02 00:00:00,2.12234139572313,1.49,93.875,0,0.33,101042.5
2010-04-02 00:10:00,1.87421050045079,1.4,94,0,0.34,101052.5
2010-04-02 00:20:00,1.68405463094283,1.3,94,0,0.34,101062.5
2010-04-02 00:30:00,1.49471669556475,1.2,94,0,0.35,101072.5
2010-04-02 00:40:00,1.3052892399771,1.11,94,0,0.36,101082.5
2010-04-02 00:50:00,1.11598297478053,1.01,94,0,0.36,101092.5
2010-04-02 01:00:00,0.925977321536548,0.91,94,0,0.37,101102.5
2010-04-02 01:10:00,0.778393216825532,0.81,94,0,0.38,101113.3
2010-04-02 01:20:00,0.7539767900937,0.7,94,0,0.38,101126.7
2010-04-02 01:30:00,0.730754404707902,0.6,94,0,0.39,101140
2010-04-02 01:40:00,0.707424907675719,0.49,94,0,0.4,101153.3
2010-04-02 01:50:00,0.683344715352362,0.38,94,0,0.4,101166.7
2010-04-02 02:00:00,0.660136349552121,0.27,94,0,0.41,101180
2010-04-02 02:10:00,0.637869108830331,0.18,94.042,0,0.42,101192.1
2010-04-02 02:20:00,0.620097572967352,0.12,94.208,0,0.43,101200.4
2010-04-02 02:30:00,0.602029899589713,0.06,94.375,0,0.43,101208.8
2010-04-02 02:40:00,0.584781155647136,0,94.542,0,0.44,101217.1
2010-04-02 02:50:00,0.566911809719995,-0.06,94.708,0,0.45,101225.4
2010-04-02 03:00:00,0.548831485977253,-0.12,94.875,0,0.45,101233.8
2010-04-02 03:10:00,0.551204136414088,-0.17,95,0,0.46,101242.1
2010-04-02 03:20:00,0.611003273313654,-0.2,95,0,0.47,101250.4
2010-04-02 03:30:00,0.670004477596979,-0.22,95,0,0.47,101258.8
2010-04-02 03:40:00,0.729839708429187,-0.25,95,0,0.48,101267.1
2010-04-02 03:50:00,0.789838591105803,-0.28,95,0,0.49,101275.4
2010-04-02 04:00:00,0.849442169897398,-0.31,95,0,0.49,101283.8
2010-04-02 04:10:00,0.914315591029706,-0.32,95,0,0.5,101291.7
2010-04-02 04:20:00,0.995367268901284,-0.28,95,0,0.51,101298.3
2010-04-02 04:30:00,1.07599860594705,-0.24,95,0,0.52,101305
2010-04-02 04:40:00,1.15686645728883,-0.19,95,0,0.52,101311.7
2010-04-02 04:50:00,1.23861414492165,-0.15,95,0,0.53,101318.3
2010-04-02 05:00:00,1.3192971613704,-0.11,95,0,0.54,101325
2010-04-02 05:10:00,1.38032604843928,-0.07,94.958,0.497,0.55,101332.1
2010-04-02 05:20:00,1.3810130339718,-0.03,94.792,2.485,0.55,101340.4
2010-04-02 05:30:00,1.38212734579705,0,94.625,4.474,0.56,101348.7
2010-04-02 05:40:00,1.38331919671492,0.04,94.458,6.462,0.57,101357.1
2010-04-02 05:50:00,1.38372143150274,0.08,94.292,8.45,0.57,101365.4
2010-04-02 06:00:00,1.38511263079939,0.11,94.125,10.439,0.58,101373.7
2010-04-02 06:10:00,1.44274807225655,0.14,93.917,16.308,0.59,101382.5
2010-04-02 06:20:00,1.67300478182222,0.15,93.583,33.82,0.6,101392.5
2010-04-02 06:30:00,1.90237877406157,0.16,93.25,51.331,0.6,101402.5
2010-04-02 06:40:00,2.13197983104907,0.16,92.917,68.843,0.61,101412.5
2010-04-02 06:50:00,2.36102710700237,0.17,92.583,86.355,0.62,101422.5
2010-04-02 07:00:00,2.59086414155586,0.18,92.25,103.866,0.62,101432.5
2010-04-02 07:10:00,2.77581159303005,0.27,91.708,123.646,0.63,101442.9
2010-04-02 07:20:00,2.82933490417801,0.61,90.542,150.229,0.62,101454.6
2010-04-02 07:30:00,2.88135662492514,0.95,89.375,176.812,0.61,101466.3
2010-04-02 07:40:00,2.93427640143188,1.3,88.208,203.396,0.61,101477.9
2010-04-02 07:50:00,2.98768555909085,1.64,87.042,229.979,0.6,101489.6
2010-04-02 08:00:00,3.04065338373186,1.98,85.875,256.562,0.59,101501.3
2010-04-02 08:10:00,3.06648495838476,2.31,84.458,282.154,0.58,101510.8
2010-04-02 08:20:00,3.01245846444395,2.61,82.292,304.771,0.58,101514.2
2010-04-02 08:30:00,2.95820300182391,2.91,80.125,327.388,0.57,101517.5
2010-04-02 08:40:00,2.90486075397772,3.2,77.958,350.004,0.56,101520.8
2010-04-02 08:50:00,2.85098667131223,3.5,75.792,372.621,0.56,101524.2
2010-04-02 09:00:00,2.79617470841863,3.8,73.625,395.237,0.55,101527.5
2010-04-02 09:10:00,2.78480232691658,4.08,71.75,417.9,0.54,101531.7
2010-04-02 09:20:00,2.89842888475809,4.3,70.75,440.7,0.53,101538.3
2010-04-02 09:30:00,3.01133741052045,4.52,69.75,463.5,0.53,101545
2010-04-02 09:40:00,3.12466078158894,4.75,68.75,486.3,0.52,101551.7
2010-04-02 09:50:00,3.23820999936693,4.97,67.75,509.1,0.51,101558.3
2010-04-02 10:00:00,3.35239690370935,5.19,66.75,531.9,0.51,101565
2010-04-02 10:10:00,3.49063002909217,5.39,65.875,550.929,0.5,101570
2010-04-02 10:20:00,3.70324303820314,5.51,65.375,558.646,0.51,101570
2010-04-02 10:30:00,3.91668290776775,5.64,64.875,566.362,0.52,101570
2010-04-02 10:40:00,4.13021561180527,5.76,64.375,574.079,0.52,101570
2010-04-02 10:50:00,4.34312445135987,5.88,63.875,581.796,0.53,101570
2010-04-02 11:00:00,4.55609317288398,6.01,63.375,589.513,0.54,101570
2010-04-02 11:10:00,4.7011845315835,6.13,62.833,594.783,0.55,101570.4
2010-04-02 11:20:00,4.64362358508956,6.24,62.167,592.717,0.55,101572.1
2010-04-02 11:30:00,4.58469595502254,6.35,61.5,590.65,0.56,101573.7
2010-04-02 11:40:00,4.52696112198901,6.46,60.833,588.583,0.57,101575.4
2010-04-02 11:50:00,4.46828915805591,6.57,60.167,586.517,0.57,101577.1
2010-04-02 12:00:00,4.4110276580407,6.69,59.5,584.45,0.58,101578.8
2010-04-02 12:10:00,4.36147154066148,6.77,59.125,584.483,0.59,101579.6
2010-04-02 12:20:00,4.3400839853625,6.78,59.625,590.817,0.6,101577.9
2010-04-02 12:30:00,4.3185697863992,6.79,60.125,597.15,0.6,101576.3
2010-04-02 12:40:00,4.29737710702703,6.79,60.625,603.483,0.61,101574.6
2010-04-02 12:50:00,4.27600572965004,6.8,61.125,609.817,0.62,101572.9
2010-04-02 13:00:00,4.25410307820579,6.8,61.625,616.15,0.62,101571.2
2010-04-02 13:10:00,4.24542777585487,6.81,62.125,619.162,0.63,101570.8
2010-04-02 13:20:00,4.27326128384399,6.8,62.625,612.213,0.63,101574.2
2010-04-02 13:30:00,4.30170291861258,6.78,63.125,605.263,0.63,101577.5
2010-04-02 13:40:00,4.33023844609047,6.77,63.625,598.312,0.63,101580.8
2010-04-02 13:50:00,4.35883023298683,6.76,64.125,591.362,0.63,101584.2
2010-04-02 14:00:00,4.38708342751765,6.75,64.625,584.412,0.63,101587.5
2010-04-02 14:10:00,4.37874730944822,6.73,65.042,573.483,0.63,101590.4
2010-04-02 14:20:00,4.2638470891907,6.68,65.208,550.617,0.63,101592.1
2010-04-02 14:30:00,4.14815344460641,6.63,65.375,527.75,0.63,101593.8
2010-04-02 14:40:00,4.03354595858285,6.58,65.542,504.883,0.63,101595.4
2010-04-02 14:50:00,3.91817508541923,6.53,65.708,482.017,0.63,101597.1
2010-04-02 15:00:00,3.80298895607126,6.49,65.875,459.15,0.63,101598.7
2010-04-02 15:10:00,3.69954645868923,6.45,65.917,434.992,0.63,101600.8
2010-04-02 15:20:00,3.63496423641279,6.44,65.583,406.958,0.63,101604.2
2010-04-02 15:30:00,3.56985615956722,6.43,65.25,378.925,0.63,101607.5
2010-04-02 15:40:00,3.50516661515541,6.42,64.917,350.892,0.63,101610.8
2010-04-02 15:50:00,3.44049327858666,6.41,64.583,322.858,0.63,101614.2
2010-04-02 16:00:00,3.37536635048701,6.4,64.25,294.825,0.63,101617.5
2010-04-02 16:10:00,3.32739612910756,6.39,63.833,272.337,0.63,101621.7
2010-04-02 16:20:00,3.32635190561672,6.4,63.167,266.487,0.62,101628.3
2010-04-02 16:30:00,3.32674029644636,6.41,62.5,260.638,0.61,101635
2010-04-02 16:40:00,3.3254629752863,6.42,61.833,254.787,0.61,101641.7
2010-04-02 16:50:00,3.32586605262449,6.43,61.167,248.938,0.6,101648.3
2010-04-02 17:00:00,3.32493669112661,6.43,60.5,243.088,0.59,101655
2010-04-02 17:10:00,3.290112460084,6.4,60.708,231.399,0.58,101660.8
2010-04-02 17:20:00,3.14730773836941,6.26,63.542,202.196,0.58,101664.2
2010-04-02 17:30:00,3.00569875403374,6.12,66.375,172.993,0.57,101667.5
2010-04-02 17:40:00,2.86301239955401,5.97,69.208,143.789,0.56,101670.8
2010-04-02 17:50:00,2.7212660656393,5.83,72.042,114.586,0.56,101674.2
2010-04-02 18:00:00,2.57908549683798,5.69,74.875,85.382,0.55,101677.5
2010-04-02 18:10:00,2.43826167586664,5.53,77.5,61.122,0.54,101681.7
2010-04-02 18:20:00,2.29839639749109,5.31,79.5,51.688,0.53,101688.3
2010-04-02 18:30:00,2.15833848133234,5.09,81.5,42.255,0.53,101695
2010-04-02 18:40:00,2.01822298074321,4.88,83.5,32.822,0.52,101701.7
2010-04-02 18:50:00,1.87752736331591,4.66,85.5,23.388,0.51,101708.3
2010-04-02 19:00:00,1.73813837193706,4.44,87.5,13.955,0.51,101715
2010-04-02 19:10:00,1.63614302553291,4.18,89.167,6.593,0.49,101721.7
2010-04-02 19:20:00,1.6492743859043,3.78,89.833,5.447,0.47,101728.3
2010-04-02 19:30:00,1.66313258641637,3.38,90.5,4.3,0.44,101735
2010-04-02 19:40:00,1.67633230595846,2.98,91.167,3.153,0.41,101741.7
2010-04-02 19:50:00,1.69004881586302,2.58,91.833,2.007,0.38,101748.3
2010-04-02 20:00:00,1.70293863659264,2.18,92.5,0.86,0.35,101755
2010-04-02 20:10:00,1.67483521577497,1.84,93,0,0.33,101760.8
2010-04-02 20:20:00,1.5206314477874,1.66,93,0,0.3,101764.2
2010-04-02 20:30:00,1.36659613639144,1.49,93,0,0.27,101767.5
2010-04-02 20:40:00,1.2128940596771,1.31,93,0,0.24,101770.8
2010-04-02 20:50:00,1.05864536082675,1.14,93,0,0.22,101774.2
2010-04-02 21:00:00,0.905391075723634,0.96,93,0,0.19,101777.5
2010-04-02 21:10:00,0.776918271119942,0.79,93.042,0,0.16,101780.4
2010-04-02 21:20:00,0.726207270687922,0.61,93.208,0,0.13,101782.1
2010-04-02 21:30:00,0.674837017360488,0.43,93.375,0,0.1,101783.7
2010-04-02 21:40:00,0.623914256929588,0.26,93.542,0,0.08,101785.4
2010-04-02 21:50:00,0.573135237095051,0.08,93.708,0,0.05,101787.1
2010-04-02 22:00:00,0.522586834889667,-0.1,93.875,0,0.02,101788.8
2010-04-02 22:10:00,0.468687529170555,-0.26,94,0,0,101790.8
2010-04-02 22:20:00,0.408717506353716,-0.39,94,0,0.01,101794.2
2010-04-02 22:30:00,0.348432202874533,-0.51,94,0,0.02,101797.5
2010-04-02 22:40:00,0.287605632768206,-0.64,94,0,0.03,101800.8
2010-04-02 22:50:00,0.227688383542068,-0.76,94,0,0.04,101804.2
2010-04-02 23:00:00,0.167385781952948,-0.89,94,0,0.06,101807.5
2010-04-02 23:10:00,0.129034879005639,-1.01,94,0,0.07,101810
2010-04-02 23:20:00,0.15728000508647,-1.11,94,0,0.08,101810
2010-04-02 23:30:00,0.186807387434223,-1.21,94,0,0.09,101810
2010-04-02 23:40:00,0.215002325568818,-1.31,94,0,0.1,101810
2010-04-02 23:50:00,0.243944665856829,-1.41,94,0,0.11,101810
2010-04-03 00:00:00,0.272723303001412,-1.51,94,0,0.12,101810
2010-04-03 00:10:00,0.289849961186818,-1.61,94.042,0,0.13,101810.4
2010-04-03 00:20:00,0.275697297774207,-1.69,94.208,0,0.14,101812.1
2010-04-03 00:30:00,0.260860115770886,-1.76,94.375,0,0.15,101813.8
2010-04-03 00:40:00,0.24620519897029,-1.84,94.542,0,0.16,101815.4
2010-04-03 00:50:00,0.231138486626524,-1.92,94.708,0,0.17,101817.1
2010-04-03 01:00:00,0.215522620622523,-1.99,94.875,0,0.18,101818.8
2010-04-03 01:10:00,0.216178167260249,-2.05,94.958,0,0.19,101820.4
2010-04-03 01:20:00,0.262937254872717,-2.07,94.792,0,0.2,101822.1
2010-04-03 01:30:00,0.308807383331422,-2.08,94.625,0,0.21,101823.7
2010-04-03 01:40:00,0.355373043434642,-2.1,94.458,0,0.22,101825.4
2010-04-03 01:50:00,0.400565849767551,-2.11,94.292,0,0.23,101827.1
2010-04-03 02:00:00,0.447329855922897,-2.13,94.125,0,0.25,101828.8
2010-04-03 02:10:00,0.469255793784158,-2.15,94,0,0.26,101829.6
2010-04-03 02:20:00,0.417915063140825,-2.2,94,0,0.27,101827.9
2010-04-03 02:30:00,0.367491496500259,-2.25,94,0,0.28,101826.3
2010-04-03 02:40:00,0.317119851160409,-2.29,94,0,0.29,101824.6
2010-04-03 02:50:00,0.266317479711716,-2.34,94,0,0.3,101822.9
2010-04-03 03:00:00,0.215585249959268,-2.38,94,0,0.31,101821.2
2010-04-03 03:10:00,0.1919505144562,-2.45,94,0,0.32,101820
2010-04-03 03:20:00,0.252539105882634,-2.57,94,0,0.33,101820
2010-04-03 03:30:00,0.312603582832955,-2.68,94,0,0.34,101820
2010-04-03 03:40:00,0.374161729737289,-2.8,94,0,0.35,101820
2010-04-03 03:50:00,0.4338478996146,-2.92,94,0,0.36,101820
2010-04-03 04:00:00,0.495064642243819,-3.03,94,0,0.37,101820
2010-04-03 04:10:00,0.530928432088544,-3.12,94,0,0.38,101820.4
2010-04-03 04:20:00,0.494894938345504,-3.13,94,0,0.4,101822.1
2010-04-03 04:30:00,0.45841575016572,-3.14,94,0,0.41,101823.7
2010-04-03 04:40:00,0.422275976110411,-3.15,94,0,0.43,101825.4
2010-04-03 04:50:00,0.386731172780266,-3.16,94,0,0.44,101827.1
2010-04-03 05:00:00,0.35047681806362,-3.17,94,0,0.45,101828.8
2010-04-03 05:10:00,0.313438989278615,-3.17,94,0.828,0.47,101831.2
2010-04-03 05:20:00,0.274308220802804,-3.13,94,4.138,0.48,101836.2
2010-04-03 05:30:00,0.236076258865647,-3.09,94,7.447,0.49,101841.2
2010-04-03 05:40:00,0.19672569735548,-3.04,94,10.758,0.51,101846.3
2010-04-03 05:50:00,0.158145502623375,-3,94,14.067,0.52,101851.3
2010-04-03 06:00:00,0.118983192090312,-2.96,94,17.377,0.54,101856.2
2010-04-03 06:10:00,0.0947945146092325,-2.89,93.958,24.787,0.55,101860.8
2010-04-03 06:20:00,0.115316954521007,-2.75,93.792,44.493,0.56,101864.2
2010-04-03 06:30:00,0.1350037036529,-2.6,93.625,64.2,0.58,101867.5
2010-04-03 06:40:00,0.154806330619907,-2.45,93.458,83.907,0.59,101870.8
2010-04-03 06:50:00,0.174427635425124,-2.31,93.292,103.613,0.61,101874.2
2010-04-03 07:00:00,0.194195777503014,-2.16,93.125,123.32,0.62,101877.5
2010-04-03 07:10:00,0.210411501586772,-1.96,92.625,143.908,0.63,101880
2010-04-03 07:20:00,0.21713820483738,-1.59,91.125,167.142,0.64,101880
2010-04-03 07:30:00,0.223439029715043,-1.23,89.625,190.375,0.64,101880
2010-04-03 07:40:00,0.229960866235975,-0.86,88.125,213.608,0.65,101880
2010-04-03 07:50:00,0.236414889548015,-0.49,86.625,236.842,0.66,101880
2010-04-03 08:00:00,0.243483058958935,-0.13,85.125,260.075,0.66,101880
2010-04-03 08:10:00,0.265035846632111,0.22,83.708,281.55,0.67,101880.8
2010-04-03 08:20:00,0.333493628125036,0.52,82.542,297.75,0.68,101884.2
